id;word;art;mean;art_chosen;art_right;art_wrong;categ
362;(an + das) ans;;at;;0;0;preposicao
363;(auf + das) aufs;;on;;0;0;preposicao
364;(in + dem) im;;in;;0;0;preposicao
365;(in + das) ins;;in;;0;0;preposicao
366;womit;;with that;;0;0;preposicao
367;darauf;;on it, on that;;0;0;preposicao
368;dafür;;for it, for that;;0;0;preposicao
369;darin;;in there;;0;0;preposicao
370;davon;;from there;;0;0;preposicao
371;worauf;;on what;;0;0;preposicao
372;wofür;;for what, for which;;0;0;preposicao
373;worin;;in what, in which;;0;0;preposicao
374;wovon;;from what, from which;;0;0;preposicao
375;sich;;oneself;;0;0;adj/adv
376;Wochentag;der;weekday;;0;0;tempo
377;Woche;die;week;;0;0;tempo
378;doch;;anyway, resposta afirmativa para pergunta negativa;;0;0;adj/adv
379;richtig;;right, correct;;0;0;adj/adv
380;Zeug;das;stuff;;0;0;palavra
381;Lager;das;camp, storeroom;;0;0;trabalho
382;Masse;die;mass, crowd;;0;0;pessoa
383;hin und her;;to and from;;0;0;adj/adv
384;her;;from;;0;0;adj/adv
385;wann;;when;;0;0;tempo
386;abwesend;;absent;;0;0;tempo
387;wahr;;TRUE;;0;0;adj/adv
388;recht;;right;;0;0;adj/adv
389;Fort;der;on, further, away, gone;;0;0;palavra
390;Topf;der;pot, pan;;0;0;casa
391;weit;;wide, broad, far;;0;0;adj/adv
392;rühren;;to stir, to move;;0;0;verbo
393;Beutel;der;bag;;0;0;palavra
394;Koch;der;cook, chef;;0;0;comida
395;lassen;;to let;;0;0;verbo
396;etwa;;about, around;;0;0;adj/adv
397;mittlerer;;middle;;0;0;adj/adv
398;Deckel;der;lid, top;;0;0;casa
399;sämig;;thick;;0;0;adj/adv
400;errichten;;to put up [Gebäude errichten];;0;0;verbo
401;mehr;;more;;0;0;adj/adv
402;Inhalt;der;contents, area, volume;;0;0;palavra
403;mindeste;;least;;0;0;adj/adv
404;haltbar;;durable;;0;0;adj/adv
405;Anstoss;der;kickoff (sport);;0;0;esporte
406;Jongleur;der;juggler;;0;0;esporte
407;zurück;;back;;0;0;adj/adv
408;zufällig;;chance (not on purpose), by chance, coincidentally;;0;0;adj/adv
409;wählen;;to choose;;0;0;verbo
410;Schaft;der;a long rod;;0;0;palavra
411;laden;;to load;;0;0;verbo
412;bearbeiten;;to work on, to edit, to handle;;0;0;verbo
413;Gast;der;guest, visitor;;0;0;pessoa
414;halb;;half;;0;0;adj/adv
415;Länge;die;length;;0;0;palavra
416;Stärke;die;strength;;0;0;palavra
417;Anzeige;die;report, advertisement;;0;0;palavra
